recordID,decimalLatitude,decimalLongitude,eventDate,family,scientificName,taxonConceptID,dataResourceName,basisOfRecord,recordedBy,ABS_SA2_region_2016
7fb03fcc-00db-4bcb-ab90-00ee56af8329,-35.24330003,148.974,1988-01-17T13:00:00Z,Scincidae,Ctenotus robustus,urn:lsid:biodiversity.org.au:afd.taxon:ff331787-ecbd-4e17-87d5-79b910d20b0d,ACT Wildlife Atlas,UNKNOWN,,MOLONGLO CORRIDOR
07a6e596-6bf8-446b-8755-a4b0bab7df7a,-35.24330003,148.974,1987-12-31T13:00:00Z,Agamidae,Pogona barbata,urn:lsid:biodiversity.org.au:afd.taxon:25b7606b-0b61-4f2d-967e-9c5c210fe332,ACT Wildlife Atlas,UNKNOWN,,MOLONGLO CORRIDOR
3c36b36c-998b-44e5-af32-fbd901b839d3,-35.24330003,148.983,2009-06-23T14:00:00Z,Pygopodidae,Delma inornata,urn:lsid:biodiversity.org.au:afd.taxon:9b0f30cf-b21b-40b4-813f-f7b2c177a5b9,ACT Wildlife Atlas,UNKNOWN,,WEST BELCONNEN
2ec93b66-9232-44ae-8d07-6b9f48bae7ac,-35.24330003,148.983,2009-06-23T14:00:00Z,Scincidae,Ctenotus robustus,urn:lsid:biodiversity.org.au:afd.taxon:ff331787-ecbd-4e17-87d5-79b910d20b0d,ACT Wildlife Atlas,UNKNOWN,,WEST BELCONNEN
b641de73-d0ac-46e9-9ae7-4bc77a1d31f9,-35.24320003,149.14,1991-12-11T13:00:00Z,Chelidae,Chelodina (Chelodina) longicollis,urn:lsid:biodiversity.org.au:afd.taxon:68eba403-5689-4a10-8c58-e3e6e4151cb4,ACT Wildlife Atlas,UNKNOWN,,DOWNER
5312937b-ddce-4044-8814-6dff49dfa8ef,-35.24280003,149.164,1991-12-27T13:00:00Z,Chelidae,Chelodina (Chelodina) longicollis,urn:lsid:biodiversity.org.au:afd.taxon:68eba403-5689-4a10-8c58-e3e6e4151cb4,ACT Wildlife Atlas,UNKNOWN,,HACKETT
ae49f57d-675a-4c3c-aa5d-8aa78dcf3517,-35.24270003,148.952,2006-10-13T14:00:00Z,Agamidae,Pogona barbata,urn:lsid:biodiversity.org.au:afd.taxon:25b7606b-0b61-4f2d-967e-9c5c210fe332,ACT Wildlife Atlas,UNKNOWN,,ACT - SOUTH WEST
92f90111-5b06-4393-81d9-591e016f8be4,-35.242449,149.177812,,Agamidae,Amphibolurus muricatus,urn:lsid:biodiversity.org.au:afd.taxon:685363d2-4934-4c18-a286-e7ce31c51c46,iNaturalist Australia,HUMAN_OBSERVATION,Dylanjones,MAJURA
08247b1e-3d20-4629-afa5-680dff387555,-35.242333,148.977509,,Agamidae,Pogona barbata,urn:lsid:biodiversity.org.au:afd.taxon:25b7606b-0b61-4f2d-967e-9c5c210fe332,ALA species sightings and OzAtlas,HUMAN_OBSERVATION,"Bonnet, Timothee",MOLONGLO CORRIDOR
a2d9b75b-74b9-4c03-b733-bad0d6aa47ce,-35.24230003,149.088,,Scincidae,Menetia greyii,urn:lsid:biodiversity.org.au:afd.taxon:ada5e2b7-1b23-410d-a3cf-1a81853a7de8,ACT Wildlife Atlas,UNKNOWN,,BRUCE
d38c99b6-dbd5-4717-b9b4-ee346cbf7d65,-35.24220003,149.043,1988-12-20T13:00:00Z,Scincidae,Tiliqua scincoides,urn:lsid:biodiversity.org.au:afd.taxon:78d80a58-c9ee-42d4-a0e1-c43bcccf9d56,ACT Wildlife Atlas,UNKNOWN,,HAWKER
221d521b-5dde-46a5-8c25-7adf40968d14,-35.24220003,148.988,1992-12-29T13:00:00Z,Scincidae,Tiliqua scincoides,urn:lsid:biodiversity.org.au:afd.taxon:78d80a58-c9ee-42d4-a0e1-c43bcccf9d56,ACT Wildlife Atlas,UNKNOWN,,WEST BELCONNEN
